cell_type_major	cell_type_minor	cell_type_subset	exp	markers
Acinar cell	Acinar cell	Acinar cell	pos	"AKR1C3,ALDOB,AMY2B,ANGPTL4,ANPEP,C15ORF48,CEL,CELA1,CELA2A,CELA3A,CELA3B,CFB,CLPS,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,CXCL17,DUOXA2,GDF15,GSTA1,GSTA2,KLK1,LGALS2,LYZ,MUC1,OLFM4,PDZK1IP1,PLA2G1B,PNLIP,PNLIPRP1,PRSS1,PRSS2,PRSS3,PTF1A,RARRES2,RBPJL,REG1A,REG1B,REG3A,RNASE1,SERPINA3,SPINK1,SYCN,UBD,ZG16"
Alpha cell	Alpha cell	Alpha cell	pos	"ALDH1A1,ARX,CHGA,CRYBA2,DPP4,F10,FAP,FEV,FXYD5,GC,GCG,GLS,GPR119,IRX1,IRX2,KLHL41,LDB2,LOXL4,MAFB,NEUROD1,NKX6-1,PAX6,PCSK2,PEMT,PGR,PLCE1,PTGER3,PYY,RESP18,RFX6,RGS4,SCGB2A1,SCGN,SH3GL2,SLC30A8,SLC38A5,SMARCA1,SMIM24,TM4SF4,TTR,UCP2"
Beta cell	Beta cell	Beta cell	pos	"ADCYAP1,BMP5,CASR,CD40,DLK1,EDARADD,EFNA5,EZH1,FFAR2,FXYD2,G6PC2,GCGR,GJD2,HAMP,HOPX,IAPP,IGF2,INS,ISL1,JPH3,LMX1A,MAFA,MAFB,MEG3,NEUROD1,NKX2-2,NKX6-1,NKX6-2,NPTX2,NTRK1,PAX4,PAX6,PCSK1,PCSK2,PDX1,PFKFB2,PIR,RGS16,RIMS1,SCGB2A1,SCGN,SH3GL2,SIX2,SIX3,SLC2A2,SLC30A8,SMAD9,STXBP5,SYT13,TGFBR3"
Delta cell	Delta cell	Delta cell	pos	"BAIAP3,BCHE,BHLHE41,CASR,EDN3,EHF,ETV1,FFAR4,FRZB,FXYD2,GABRB3,GABRG2,GHSR,GPC5-AS1,HHEX,IAPP,ISL1,KCNK16,LCORL,LEPR,MS4A8,NPTX2,PAX4,PCSK1,PCSK9,PDX1,POU3F1,PRG4,RBP4,RESP18,SCGN,SST,UCP2,UNC5B"
Ductal cell	Ductal cell	Ductal cell	pos	"AKR1C3,ALDH1A3,AMBP,ANXA4,AQP1,CCL2,CFB,CFTR,CLDN1,CLDN10,CLDN4,CTSH,CXCL2,DCDC2,DEFB1,GDF15,HHEX,HNF1B,KRT19,KRT20,KRT7,LAMB3,LGALS4,MMP7,MUC1,PDLIM3,PDX1,PERP,PIGR,S100A10,SERPINA3,SERPINA5,SERPING1,SLC3A1,SLPI,SPP1,TACSTD2,TFF1,TFF2,TSPAN8,VTCN1,WFDC2"
Epsilon cell	Epsilon cell	Epsilon cell	pos	"ACSL1,ADAMTS6,AFF3,ANXA13,APOH,ARX,ASGR1,BHMT,BMP4,C2ORF54,CALCR,CD109,COL12A1,COL22A1,CORIN,COX6A2,ELOVL2,EYA4,FAM124A,FAXDC2,FRZB,GHRL,GHRLOS,HMGCS2,HRH2,ITGA4,KRT8,MYO1A,NKX2-2,NPY1R,OLFML3,OPRK1,PCSK6,PHGR1,PTGER4,S100A6,SLC6A16,SLC7A9,SPINK1,SPTSSB,THSD4,TM4SF5,VSTM2L,VTN,XYLB"
Gamma (PP) cell	Gamma (PP) cell	Gamma (PP) cell	pos	"ABCC9,APOBEC2,AQP3,ARX,CARTPT,CHN2,CMTM8,EGR3,ENTPD2,ETV1,FGB,FXYD2,GPC5-AS1,ISL1,LMO3,MEIS1,NEUROD1,PAX6,PPY,PPY2P,PTGFR,PXK,SCGB2A1,SCGN,SEMA3E,SERTM1,SLITRK6,THSD7A,ZNF503"
Pancreatic progenitor cell	Pancreatic progenitor cell	Pancreatic progenitor cell	pos	"ARX,CTNNB1,EPAS1,MFNG,NEUROG3,NKX2-2,ONECUT1,PDX1,PTF1A,RGS16,RPL23A,SOX9,YAP1"
Stellate cell	Stellate cell	Stellate cell	pos	"COL1A1,COL1A2,COL3A1,COL4A1,COL6A1,COL6A2,COL6A3,FN1,GEM,INHBA,MGP,MMP11,NDUFA4L2,PDGFRA,PDGFRB,RGS5,SFRP2,SPARC,SPON2,TGFB1,THY1,TIMP3,TNFAIP6"
Schwann cell	Schwann cell	Schwann cell	pos	"FIGN,GFRA3,GULP1,INSC,MPZ,NGFR,OLFML2A,SEMA3B,SLITRK2"
